1025859,926744
968175,871883
612603,555824
722670,650154
1934866,1872182
1904300,1837837
1056050,919330
652469,542624
938469,859775
912618,836926
690766,627618
3248273,3180656
1933863,1804163
934856,857675
863320,789861
3033787,2971447
3261800,3195230
10294389,10086760
2226659,2140810
932823,852994
651959,595429
725692,614176
2463370,2332589
909494,826503
628979,570412
949993,871574
661052,549190
625286,515214
845153,776055
869747,787690
707794,649452
1031690,948640
654362,593938
1452268,1403524
585871,529290
829095,713763
850735,776854
538710,483114
663881,584483
2763566,2704761
1862190,1807429
721046,604697
887372,806492
695692,627365
985219,896980
1963589,1895141
855283,780880
866597,807933
2767810,2667100
863519,808114
678697,615503
737289,673872
919653,837706
609582,551692
632590,572253
2166736,2115441
1629183,1579240
522191,466509
643819,582493
622337,521668
611615,555474
830734,756710
1903236,1838173
823633,745313
716246,658163
682766,625274
738504,680863
650069,592143
583939,527096
1900739,1833644
2055631,1989231
769718,692563
15024124,14822288
641914,578768
599373,541473
567502,510568
11920417,11773586
947920,890308
1851916,1789239
1802424,1738778
571903,515252
839813,766651
749784,626770
587997,527158
525645,468436
591944,535019
747264,648999
610315,535494
599107,541674
635703,578254
555932,500550
897513,820859
1934342,1823631
636656,579375
671581,615031
606380,549700
876132,767073
584874,521051
1956675,1887192
626559,568329
582133,526014
776322,703973
821804,711355
675568,608381
619064,555267
747376,644252
858372,800822
1839902,1766449
18318319,18130901
572644,515553
760918,704504
688922,622988
620710,505102
647011,590630
1386348,1301996
3109373,2988235
3969658,3901689
668620,607510
632521,536496
564837,507950
680766,624112
656916,592690
4585712,4484922
14229811,14026911
669576,564396
631957,577636
3570600,3501352
691038,631777
829885,719510
545629,491123
1401829,1346835
665313,540467
1688947,1628081
638268,524580
1808805,1741972
595468,539611
6079636,5949357
645632,588048
601047,493606
559873,503163
1331366,1276469
795675,673136
1607284,1550150
617461,520975
583541,524062
665104,609260
631174,523628
608737,551969
653262,558461
614505,556777
1413004,1356473
710070,636605
14912814,14697972
580111,523285
3064977,2990611
5137859,5076491
638502,578134
549133,492663
568646,513453
569426,501532
2602856,2541567
2053088,1980010
648312,579043
2838368,2726485
643271,589196
601221,518691
652788,576686
626665,571248
710045,650804
1825716,1771283
3849430,3796746
3227791,3153302
784913,683856
2828350,2772145
571924,516173
574720,520045
801627,743363
1552473,1496742
569543,514473
695052,638398
599013,545091
1250325,1168077
727789,660109
1882191,1782992
1255166,1198041
3424594,3353877
601841,544958
662926,606803
3698544,3635884
1827447,1759403
4019811,3957100
2322587,2224082
3084345,3024356
3651804,3495160
5914178,5856168
7644570,7577976
9281487,9178043
10713317,10641095
11829837,11765313
523898,445859
1330768,1265401
618258,545664
2962639,2885176
3920055,3847025
5212573,5143320
559456,502370
755625,636292
630065,574321
1471758,1415702
612626,551659
1501477,1445310
969480,887931
990080,933670
1417968,1368261
2426361,2370196
3269832,3199581
565772,457004
1294007,1238748
2166342,2113192
746473,681775
1548776,1498979
739130,654144
1806327,1731868
746793,687039
1107826,996319
2045959,1968634
1809311,1738578
1920969,1844986
10118748,9976115
7115634,7040554
15158083,14965892
727940,660056
1915548,1830902
820411,712401
657929,558746
590784,533783
4463816,4398694
1825060,1710824
1880228,1775613
600048,544142
822535,684461
1877254,1784748
2841331,2785181
677549,579084
572464,504289
1749813,1684359
661885,566944
641159,542417
8808692,8692801
581490,521212
758087,629302
801885,724807
1904536,1836167
778615,670302
514785,462442
609032,503500
1504816,1398756
3663928,3544047
8112257,7987468
607685,550293
678181,559823
1197763,1101573
2486080,2375302
2334838,2229410
5511906,5413828
8376520,8225896
8937551,8881243
5634410,5521117
10635594,10561576
737839,680085
648506,550957
945113,777781
650942,516358
4198022,4083929
668528,559189
618995,512633
576817,478507
695265,639825
3047508,2984538
572525,516637
640159,532373
897700,762650
633896,527160
1401319,1295996
1362468,1232300
630411,576192
2005150,1936884
4627454,4511661
5441252,5388899
616859,559247
592812,485382
642133,521477
823521,704704
2952316,2896935
711822,581433
645775,594730
720855,579601
598128,546445
1350842,1296568
4452818,4389134
780337,680842
977769,836262
2065719,1954249
2984551,2867678
631085,531188
617375,511874
1464699,1402296
1081352,1025082
2146468,2083088
4851199,4796276
817197,708672
2101227,1959751
739871,630672
2707788,2595935
566765,471837
685209,628950
2836842,2725505
568590,512133
2635783,2570218
517735,463465
653681,546752
963972,815624
659455,601068
3083840,2966985
3868835,3812402
629663,513664
1465148,1396341
607837,552158
1439881,1387702
736935,683653
2065971,1952377
2523371,2383321
2970408,2912151
3662510,3551642
4120146,4053297
4653678,4599272
6864745,6756726
10110848,9995065
10593364,10533411
9756195,9648518
11882639,11826464
943565,796525
780703,707580
537311,465243
689653,559604
2753025,2654394
5209432,5148340
850622,760118
768288,713563
2982326,2933028
4440907,4334764
991909,857009
637660,580124
2692531,2628363
596776,488625
559297,501816
1327272,1250615
576471,456234
3617449,3497298
6917589,6847392
16032304,15841456
1130775,893923
851543,792712
2831469,2774153
1362473,1254657
506032,450221
6878504,6778664
11099035,11040817
11100504,11045439
14251710,14189950
3188097,3057874
8056778,7913962
711426,652319
609521,512481
1992161,1894430
2238031,2165747
538584,472911
4584683,4508983
9125160,9062154
724952,618225
22197505,22025976
950904,779485
2200557,2077974
3071473,3018959
673081,570447
776708,715384
1001036,942162
1402110,1290718
2332399,2264221
4359861,4300627
649859,540836
2363586,2211305
686866,552969
674818,564296
3585127,3473153
593570,513871
814956,757737
605051,545777
3680708,3566071
679541,584171
5438989,5373119
733937,666754
996874,898375
1078863,968492
1626601,1573104
3812608,3756895
5739965,5619852
5312728,5257524
9113899,9005547
9475956,9354752
11167324,11098261
776421,699970
1294169,1239951
593796,496371
564447,506642
5348174,5293075
3096859,2957421
10311292,10189945
7373903,7275971
11085709,10984143
12529821,12453271
774450,690842
817194,762984
640385,582446
877095,571214
618105,511391
